Date,SW_chl_nn,SW_chl_oc4me,MST_chl_nn,MST_chl_oc4me,PK_chl_nn,PK_chl_oc4me
2018-08-31,0.5597982,0.43430543,,,0.15734407,0.32494587
2018-09-01,,,,,,
2018-09-02,,,,,,
2018-09-03,,,,,,
2018-09-04,,,,,,
2018-09-05,,,,,,
2018-09-06,,,,,,
2018-09-07,0.8341801,,,,,
2018-09-08,,,7.618856,30.221426,0.3756671,0.43430543
2018-09-09,,,,,,
2018-09-10,,,,,,
2018-09-11,,,6.3554983,,,
2018-09-12,1.9916481,,19.558636,,0.09820328,0.36228898
2018-09-13,,,,,,
2018-09-14,,,,,,
2018-09-15,21.029776,,,,0.14633706,0.6471778
2018-09-16,,,,,,
2018-09-17,,,,,,
2018-09-18,,,,,,
2018-09-19,,,,,0.40392357,1.8523222
2018-09-20,,,,,,
2018-09-21,,,,,,
2018-09-22,,,,,,
2018-09-23,12.657915,30.221426,4.7551622,,0.101829596,1.114921
2018-09-24,,,,,,
2018-09-25,,,,,,
2018-09-26,16.315426,27.106339,12.657915,,0.2710634,0.775825
2018-09-27,2.967843,,5.9108987,,0.1819041,2.065193
2018-09-28,,,,,,
2018-09-29,,,,,,
2018-09-30,2.1414535,,20.28087,,0.2614104,0.86498356
2018-10-01,,,,,,
2018-10-02,,,,,,
2018-10-03,,,,,,
2018-10-04,,,3.5577965,,0.19558637,0.58046967
2018-10-05,,,,,,
2018-10-06,,,,,,
2018-10-07,,,,,,
2018-10-08,,,,,,
2018-10-09,,,,,,
2018-10-10,,,,,,
2018-10-11,,,,,,
2018-10-12,,,,,,
2018-10-13,,,,,,
2018-10-14,,,,,,
2018-10-15,20.28087,,,,,
2018-10-16,15.174079,,10.94889,,0.41883913,1.1560912
2018-10-17,,,,,,
2018-10-18,,,,,,
2018-10-19,17.542622,,,,,
2018-10-20,,,,,,
2018-10-21,,,,,,
2018-10-22,,,,,,
2018-10-23,,,23.446539,,0.28107285,
2018-10-24,,,,,,
2018-10-25,,,,,,
2018-10-26,,,,,,
2018-10-27,,,,,,
2018-10-28,5.3016305,2.967843,,,,
2018-10-29,,,,,,
2018-10-30,,,,,,
2018-10-31,,,,,,
2018-11-01,,,,,,
2018-11-02,,,,,,
2018-11-03,,,,,,
2018-11-04,,,16.315426,,,
2018-11-05,,,,,,
2018-11-06,,,,,,
2018-11-07,,,,,,
2018-11-08,,,5.1128306,,0.09820328,0.6710759
2018-11-09,,,,,,
2018-11-10,,,,,,
2018-11-11,,,,,,
2018-11-12,,,,,,
2018-11-13,,,,,,
2018-11-14,,,,,,
2018-11-15,0.027602276,,,,,
2018-11-16,,,,,0.18862122,1.0752169
2018-11-17,,,,,,
2018-11-18,,,,,,
2018-11-19,10.558982,,18.862122,,0.23446539,0.52063745
2018-11-20,,,,,,
2018-11-21,,,,,,
2018-11-22,,,,,,
2018-11-23,0.40392357,,23.446539,,0.25210112,0.8969245
2018-11-24,11.353195,0.33694503,,,0.09820328,0.5020967
2018-11-25,,,,,,
2018-11-26,,,,,,
2018-11-27,,,,,,
2018-11-28,,,,,,
2018-11-29,,,,,,
2018-11-30,,,,,,
2018-12-01,,,,,,
2018-12-02,,,,,,
2018-12-03,,,,,,
2018-12-04,,,,,,
2018-12-05,,,,,,
2018-12-06,,,,,,
2018-12-07,,,,,,
2018-12-08,,,,,,
2018-12-09,,,,,,
2018-12-10,,,,,,
2018-12-11,,,,,,
2018-12-12,,,,,,
2018-12-13,,,,,,
2018-12-14,,,,,,
2018-12-15,,,,,,
2018-12-16,,,,,,
2018-12-17,,,,,,
2018-12-18,,,,,,
2018-12-19,,,,,,
2018-12-20,,,23.446539,,0.80447364,
2018-12-21,,,,,,
2018-12-22,,,,,,
2018-12-23,,,,,,
2018-12-24,,,,,,
2018-12-25,9.820328,,,,,
2018-12-26,,,,,,
2018-12-27,,,,,,
2018-12-28,6.1291685,,8.808093,4.9307547,0.2614104,1.2889504
2018-12-29,,,,,0.2710634,0.29145193
2018-12-30,,,,,,
2018-12-31,,,,,,
2019-01-01,,,,,,
2019-01-02,,,,,,
2019-01-03,,,,,,
